Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Parsell, Cameron",21,2020,373,17.8,1.62,19.0,41862272900,https://www.scopus.com/authid/detail.url?authorId=41862272900
"Moore, Trivess",21,2021,194,9.2,0.95,11.0,55259776600,https://www.scopus.com/authid/detail.url?authorId=55259776600
"San Nicolas, Rackel",21,2021,2423,115.4,3.66,23.0,55673215400,https://www.scopus.com/authid/detail.url?authorId=55673215400
"Gu, Ning",21,2021,208,9.9,1.09,15.0,55733322600,https://www.scopus.com/authid/detail.url?authorId=55733322600
"Connell, John",21,2021,299,14.2,1.25,36.0,56227359000,https://www.scopus.com/authid/detail.url?authorId=56227359000
"Bennett, Rohan M.",21,2021,229,10.9,1.65,20.0,56268184900,https://www.scopus.com/authid/detail.url?authorId=56268184900
"Chen, Zhengdong",21,2021,333,15.9,1.66,26.0,56322939600,https://www.scopus.com/authid/detail.url?authorId=56322939600
"Oswald, David Christopher",21,2021,249,11.9,1.81,12.0,56421836600,https://www.scopus.com/authid/detail.url?authorId=56421836600
"Collins, Frank G.",21,2021,2314,110.2,2.91,30.0,56468741100,https://www.scopus.com/authid/detail.url?authorId=56468741100
"Wang, Hao",21,2021,1871,89.1,2.97,64.0,56820338700,https://www.scopus.com/authid/detail.url?authorId=56820338700
"Sing, Michael C.P.",21,2021,400,19.0,1.10,20.0,57189855171,https://www.scopus.com/authid/detail.url?authorId=57189855171
"Liu, Edgar",21,2021,129,6.1,0.83,8.0,57224457257,https://www.scopus.com/authid/detail.url?authorId=57224457257
"Dekker, Sidney W.A.",21,2021,400,19.0,1.49,32.0,7004055480,https://www.scopus.com/authid/detail.url?authorId=7004055480
"Ashraf, Mahmud",21,2021,357,17.0,1.59,22.0,7201371795,https://www.scopus.com/authid/detail.url?authorId=7201371795
"Morrison, Gregory M.",21,2021,208,9.9,1.06,34.0,7201786202,https://www.scopus.com/authid/detail.url?authorId=7201786202
"Matthews, Jane",21,2021,721,34.3,2.11,17.0,7402836944,https://www.scopus.com/authid/detail.url?authorId=7402836944
"Gajendran, Thayaparan",20,2021,265,13.3,1.71,14.0,14826277900,https://www.scopus.com/authid/detail.url?authorId=14826277900
